label,n_flows,n_pcaps,bidirectional_duration_ms_mean,bidirectional_duration_ms_median,bidirectional_duration_ms_std,bidirectional_packets_mean,bidirectional_packets_median,bidirectional_packets_std,bidirectional_bytes_mean,bidirectional_bytes_median,bidirectional_bytes_std,src2dst_packets_mean,src2dst_packets_median,src2dst_packets_std,src2dst_bytes_mean,src2dst_bytes_median,src2dst_bytes_std,dst2src_packets_mean,dst2src_packets_median,dst2src_packets_std,dst2src_bytes_mean,dst2src_bytes_median,dst2src_bytes_std,bidirectional_mean_ps_mean,bidirectional_mean_ps_median,bidirectional_mean_ps_std,bytes_asymmetry_ratio_mean,bytes_asymmetry_ratio_median,bytes_asymmetry_ratio_std,packets_asymmetry_ratio_mean,packets_asymmetry_ratio_median,packets_asymmetry_ratio_std,packets_per_ms_mean,packets_per_ms_median,packets_per_ms_std,bytes_per_packet_mean,bytes_per_packet_median,bytes_per_packet_std
icmp_flood,61,1,9428.885,0.0,73641.948,94982.197,1.0,741826.861,3989286.689,88.0,31156723.677,47491.59,1.0,370913.366,1994681.213,88.0,15578356.909,47490.607,0.0,370913.494,1994605.475,0.0,15578366.768,76.426,66.0,11.878,76.738,67.0,14.771,1.984,2.0,0.128,10.073,10.073,,76.426,66.0,11.878
normal,546,1,11.824,1.0,35.937,53.762,10.0,194.644,1005387.004,1241.0,5307160.404,31.663,6.0,131.534,834097.681,594.0,5301201.411,22.099,4.0,64.0,171289.322,767.0,551695.458,3952.445,112.5,7599.527,75.714,0.944,246.467,1.173,1.107,0.338,13.082,10.0,13.275,3952.445,112.5,7599.527
port_sweep,43,1,129.442,0.0,844.125,24.628,2.0,58.621,2040.0,112.0,5022.284,23.791,1.0,58.951,1994.512,58.0,5040.123,0.837,1.0,0.374,45.488,54.0,20.322,60.702,56.0,10.668,1943.306,1.073,5060.605,23.919,1.0,59.294,18.028,18.833,14.367,60.702,56.0,10.668
syn_scan,60120,1,0.015,0.0,0.121,2.003,2.0,0.055,112.236,112.0,3.489,1.005,1.0,0.07,58.331,58.0,4.825,0.998,1.0,0.045,53.904,54.0,2.421,56.033,56.0,0.735,1.361,1.073,6.398,1.005,1.0,0.093,2.011,2.0,0.105,56.033,56.0,0.735
udp_scan,19801,1,28.958,0.0,4074.561,1.016,1.0,1.841,44.361,42.0,131.638,1.014,1.0,1.699,44.224,42.0,120.017,0.002,0.0,0.146,0.137,0.0,11.78,43.232,42.0,10.659,44.319,43.0,11.579,2.001,2.0,0.087,1.59,2.0,0.791,43.232,42.0,10.659
