protocol,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,dst2src_packets,src2dst_bytes,dst2src_bytes,bidirectional_mean_ps,bidirectional_syn_packets,bidirectional_ack_packets,bidirectional_rst_packets,bytes_asymmetry_ratio,packets_asymmetry_ratio,bidirectional_packets_per_ms,bytes_per_packet,manual_packet_count,iat_mean_ms,duration_zero_flag,syn_ack_ratio_nfstream_missing,iat_mean_ms_missing,iat_std_ms_missing,iat_cv_missing,rtt_estimate_ms_missing,tcp_window_min_missing,tcp_window_max_missing,tcp_window_mean_missing,tcp_window_var_missing,syn_ack_ratio_manual_missing,label,cluster
17,0,1,42,0,42,0,42.0,0,0,0,43.0,2.0,1.0,42.0,1,0.0128746032714843,1,1,1,1,1,1,1,1,1,1,1,udp_scan,1
6,1,2,154,1,112,54,81.5,1,1,0,1.0727272727272728,1.4,2.0,81.5,2,0.0876797570122624,0,0,0,0,0,0,0,0,0,0,0,normal,2
17,0,1,42,0,42,0,42.0,0,0,0,43.0,2.0,1.0,42.0,1,0.0128746032714843,1,1,1,1,1,1,1,1,1,1,1,udp_scan,1
17,0,1,42,0,42,0,42.0,0,0,0,43.0,2.0,1.0,42.0,1,0.0128746032714843,1,1,1,1,1,1,1,1,1,1,1,udp_scan,1
17,0,1,42,0,42,0,42.0,0,0,0,43.0,2.0,1.0,42.0,1,0.0128746032714843,1,1,1,1,1,1,1,1,1,1,1,udp_scan,1
6,0,2,112,1,58,54,56.0,1,1,1,1.0727272727272728,1.0,2.0,56.0,2,0.0138282775878906,1,0,0,0,0,1,0,0,0,0,0,syn_scan,0
17,0,1,88,0,88,0,81.5,0,0,0,43.0,2.0,1.0,81.5,1,0.0128746032714843,1,1,1,1,1,1,1,1,1,1,1,icmp_flood,4
17,1,2,154,0,112,0,81.5,0,0,0,43.0,2.0,2.0,81.5,2,0.0283122062683105,0,1,0,0,0,1,1,1,1,1,1,port_sweep,5
17,0,1,42,0,42,0,42.0,0,0,0,43.0,2.0,1.0,42.0,1,0.0128746032714843,1,1,1,1,1,1,1,1,1,1,1,udp_scan,1
6,0,2,112,1,58,54,56.0,1,1,1,1.0727272727272728,1.0,2.0,56.0,2,0.0109672546386718,1,0,0,0,0,1,0,0,0,0,0,port_sweep,0
17,0,1,66,0,66,0,66.0,0,0,0,43.0,2.0,1.0,66.0,1,0.0128746032714843,1,1,1,1,1,1,1,1,1,1,1,icmp_flood,4
6,1,2,154,1,112,54,81.5,1,1,0,1.0727272727272728,1.0,2.0,81.5,2,0.0257574278732826,0,0,0,0,0,0,0,0,0,0,0,normal,2
17,0,1,42,0,42,0,42.0,0,0,0,43.0,2.0,1.0,42.0,1,0.0128746032714843,1,1,1,1,1,1,1,1,1,1,1,udp_scan,1
17,1,2,154,0,112,0,81.5,0,0,0,43.0,2.0,2.0,81.5,2,0.04954423223223,0,1,0,0,0,1,1,1,1,1,1,port_sweep,5
6,0,2,112,1,58,54,56.0,1,1,1,1.0727272727272728,1.0,2.0,56.0,2,0.0200271606445312,1,0,0,0,0,1,0,0,0,0,0,syn_scan,0
6,1,2,154,1,112,54,80.76190476190477,1,1,0,1.0727272727272728,1.0,1.0,80.76190476190476,2,0.0876797570122624,0,0,0,0,0,0,0,0,0,0,0,normal,2
17,0,1,42,0,42,0,42.0,0,0,0,43.0,2.0,1.0,42.0,1,0.0128746032714843,1,1,1,1,1,1,1,1,1,1,1,udp_scan,1
17,0,1,42,0,42,0,42.0,0,0,0,43.0,2.0,1.0,42.0,1,0.0128746032714843,1,1,1,1,1,1,1,1,1,1,1,udp_scan,1
17,0,1,42,0,42,0,42.0,0,0,0,43.0,2.0,1.0,42.0,1,0.0128746032714843,1,1,1,1,1,1,1,1,1,1,1,udp_scan,1
6,0,2,154,1,112,54,56.66666666666666,1,1,1,1.915254237288136,1.5,2.0,56.66666666666666,2,0.0460147857666015,1,0,0,0,0,1,0,0,0,0,0,port_sweep,0
17,0,2,154,1,96,54,81.5,0,0,0,1.0727272727272728,1.0,2.0,81.5,2,0.0876797570122624,1,1,0,0,0,1,1,1,1,1,1,normal,3
6,1,2,154,1,112,54,81.5,1,1,0,1.0727272727272728,1.0,2.0,81.5,2,0.0368952751159668,0,0,0,0,0,0,0,0,0,0,0,normal,2
17,0,1,42,0,42,0,42.0,0,0,0,43.0,2.0,1.0,42.0,1,0.0128746032714843,1,1,1,1,1,1,1,1,1,1,1,udp_scan,1
17,0,1,66,0,66,0,66.0,0,0,0,43.0,2.0,1.0,66.0,1,0.0128746032714843,1,1,1,1,1,1,1,1,1,1,1,icmp_flood,4
6,1,2,154,1,112,54,81.5,1,1,0,1.0727272727272728,1.0,1.0,81.5,2,0.0876797570122624,0,0,0,0,0,0,0,0,0,0,0,normal,2
17,0,2,154,1,96,54,81.5,0,0,0,1.0727272727272728,1.0,2.0,81.5,2,0.0876797570122624,1,1,0,0,0,1,1,1,1,1,1,normal,3
17,0,2,154,1,99,54,81.5,0,0,0,1.0727272727272728,1.0,2.0,81.5,2,0.0876797570122624,1,1,0,0,0,1,1,1,1,1,1,normal,3
6,0,2,112,1,58,54,56.0,1,1,1,1.0727272727272728,1.0,2.0,56.0,2,0.0090599060058593,1,0,0,0,0,1,0,0,0,0,0,syn_scan,0
6,0,2,112,1,58,54,56.0,1,1,1,1.0727272727272728,1.0,2.0,56.0,2,0.0119209289550781,1,0,0,0,0,1,0,0,0,0,0,syn_scan,0
17,0,1,42,0,42,0,42.0,0,0,0,43.0,2.0,1.0,42.0,1,0.0128746032714843,1,1,1,1,1,1,1,1,1,1,1,udp_scan,1
6,0,2,154,1,112,54,81.5,1,1,0,1.1224105461393596,1.4,2.0,81.5,2,0.0810888078477647,1,0,0,0,0,0,0,0,0,0,0,normal,2
6,1,2,154,1,112,54,80.34883720930232,1,1,0,1.0727272727272728,1.0,1.0,80.34883720930233,2,0.0876797570122624,0,0,0,0,0,0,0,0,0,0,0,normal,2
6,0,2,112,1,58,54,56.0,1,1,1,1.0727272727272728,1.0,2.0,56.0,2,0.0169277191162109,1,0,0,0,0,1,0,0,0,0,0,syn_scan,0
6,0,2,112,1,58,54,56.0,1,1,1,1.0727272727272728,1.0,2.0,56.0,2,0.0181198120117187,1,0,0,0,0,1,0,0,0,0,0,syn_scan,0
17,0,1,66,0,66,0,66.0,0,0,0,43.0,2.0,1.0,66.0,1,0.0128746032714843,1,1,1,1,1,1,1,1,1,1,1,icmp_flood,4
6,0,2,154,1,112,54,81.5,1,1,0,1.1224105461393596,1.4,2.0,81.5,2,0.0704394446478949,1,0,0,0,0,0,0,0,0,0,0,normal,2
17,0,1,66,0,66,0,66.0,0,0,0,43.0,2.0,1.0,66.0,1,0.0128746032714843,1,1,1,1,1,1,1,1,1,1,1,icmp_flood,4
17,0,1,66,0,66,0,66.0,0,0,0,43.0,2.0,1.0,66.0,1,0.0128746032714843,1,1,1,1,1,1,1,1,1,1,1,icmp_flood,4
6,0,2,112,1,58,54,56.0,1,1,1,1.0727272727272728,1.0,2.0,56.0,2,0.0259876251220703,1,0,0,0,0,1,0,0,0,0,0,port_sweep,0
6,0,2,112,1,58,54,56.0,1,1,1,1.0727272727272728,1.0,2.0,56.0,2,0.0876797570122624,1,0,0,0,0,1,0,0,0,0,0,port_sweep,0
17,0,1,42,0,42,0,42.0,0,0,0,43.0,2.0,1.0,42.0,1,0.0128746032714843,1,1,1,1,1,1,1,1,1,1,1,udp_scan,1
17,0,1,42,0,42,0,42.0,0,0,0,43.0,2.0,1.0,42.0,1,0.0128746032714843,1,1,1,1,1,1,1,1,1,1,1,udp_scan,1
17,0,1,42,0,42,0,42.0,0,0,0,43.0,2.0,1.0,42.0,1,0.0128746032714843,1,1,1,1,1,1,1,1,1,1,1,udp_scan,1
17,0,2,154,1,96,54,81.5,0,0,0,1.0727272727272728,1.0,2.0,81.5,2,0.0876797570122624,1,1,0,0,0,1,1,1,1,1,1,normal,3
6,1,2,154,1,112,54,81.5,1,1,0,1.0727272727272728,1.020408163265306,2.0,81.5,2,0.0291243195533752,0,0,0,0,0,0,0,0,0,0,0,normal,2
6,0,2,112,1,58,54,56.0,1,1,1,1.0727272727272728,1.0,2.0,56.0,2,0.0848770141601562,1,0,0,0,0,1,0,0,0,0,0,port_sweep,0
17,0,1,88,0,88,0,81.5,0,0,0,43.0,2.0,1.0,81.5,1,0.0128746032714843,1,1,1,1,1,1,1,1,1,1,1,icmp_flood,4
