protocol,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,dst2src_packets,src2dst_bytes,dst2src_bytes,bidirectional_mean_ps,bidirectional_syn_packets,bidirectional_ack_packets,bidirectional_rst_packets,bytes_asymmetry_ratio,packets_asymmetry_ratio,bidirectional_packets_per_ms,bytes_per_packet,manual_packet_count,iat_mean_ms,duration_zero_flag,syn_ack_ratio_nfstream_missing,iat_mean_ms_missing,iat_std_ms_missing,iat_cv_missing,rtt_estimate_ms_missing,tcp_window_min_missing,tcp_window_max_missing,tcp_window_mean_missing,tcp_window_var_missing,syn_ack_ratio_manual_missing,label,true_label,predicted_label,is_correct
6,0,2,112,1,58,54,56.0,1,1,1,1.0727272727272728,1.0,2.0,56.0,2,0.0391006469726562,1,0,0,0,0,1,0,0,0,0,0,port_sweep,port_sweep,syn_scan,False
58,0,1,150,0,112,0,81.5,0,0,0,43.0,2.0,1.0,81.5,1,0.0128746032714843,1,1,1,1,1,1,1,1,1,1,1,normal,normal,icmp_flood,False
6,0,2,112,1,58,54,56.0,1,1,1,1.0727272727272728,1.0,2.0,56.0,2,0.0109672546386718,1,0,0,0,0,1,0,0,0,0,0,port_sweep,port_sweep,syn_scan,False
