label,feature,mean,median,std,min,max,null_pct
syn_scan,bidirectional_psh_packets,0.0,0.0,0.0,0.0,0.0,0.0
udp_scan,bidirectional_psh_packets,0.0,0.0,0.0,0.0,0.0,0.0
icmp_flood,bytes_asymmetry_ratio,42.312668,43.0,5.368237,1.072727,43.0,0.0
normal,bytes_asymmetry_ratio,6.279854,1.072727,13.871242,1.072727,43.0,0.0
port_sweep,bytes_asymmetry_ratio,7.956878,1.072727,15.636927,1.072727,43.0,0.0
syn_scan,bytes_asymmetry_ratio,1.072727,1.072727,0.0,1.072727,1.072727,0.0
udp_scan,bytes_asymmetry_ratio,43.0,43.0,0.0,43.0,43.0,0.0
icmp_flood,packets_asymmetry_ratio,1.983607,2.0,0.128037,1.0,2.0,0.0
normal,packets_asymmetry_ratio,1.193859,1.05,0.237125,1.0,2.0,0.0
port_sweep,packets_asymmetry_ratio,1.197674,1.0,0.380156,1.0,2.0,0.0
syn_scan,packets_asymmetry_ratio,1.0,1.0,0.0,1.0,1.0,0.0
udp_scan,packets_asymmetry_ratio,2.0,2.0,0.0,2.0,2.0,0.0
icmp_flood,bidirectional_packets_per_ms,1.016393,1.0,0.128037,1.0,2.0,0.0
normal,bidirectional_packets_per_ms,1.843116,2.0,0.360077,1.0,2.0,0.0
port_sweep,bidirectional_packets_per_ms,1.976744,2.0,0.152499,1.0,2.0,0.0
syn_scan,bidirectional_packets_per_ms,2.0,2.0,0.0,2.0,2.0,0.0
udp_scan,bidirectional_packets_per_ms,1.0,1.0,0.0,1.0,1.0,0.0
icmp_flood,bytes_per_packet,73.229508,66.0,8.751464,42.0,81.5,0.0
normal,bytes_per_packet,81.360268,81.5,0.401979,79.777778,81.5,0.0
port_sweep,bytes_per_packet,60.197674,56.0,9.506142,56.0,81.5,0.0
syn_scan,bytes_per_packet,56.0,56.0,0.0,56.0,56.0,0.0
udp_scan,bytes_per_packet,42.608527,42.0,4.868169,42.0,81.5,0.0
icmp_flood,syn_ack_ratio_nfstream,1.0,1.0,0.0,1.0,1.0,0.0
normal,syn_ack_ratio_nfstream,1.0,1.0,0.0,1.0,1.0,0.0
port_sweep,syn_ack_ratio_nfstream,1.0,1.0,0.0,1.0,1.0,0.0
syn_scan,syn_ack_ratio_nfstream,1.0,1.0,0.0,1.0,1.0,0.0
udp_scan,syn_ack_ratio_nfstream,1.0,1.0,0.0,1.0,1.0,0.0
icmp_flood,manual_packet_count,1.016393,1.0,0.128037,1.0,2.0,0.0
normal,manual_packet_count,1.992248,2.0,0.088045,1.0,2.0,0.0
port_sweep,manual_packet_count,2.0,2.0,0.0,2.0,2.0,0.0
syn_scan,manual_packet_count,2.0,2.0,0.0,2.0,2.0,0.0
udp_scan,manual_packet_count,1.0,1.0,0.0,1.0,1.0,0.0
icmp_flood,iat_mean_ms,0.012777,0.012875,0.000763,0.006914,0.012875,0.0
normal,iat_mean_ms,0.075654,0.08768,0.021947,0.012875,0.08768,0.0
port_sweep,iat_mean_ms,0.05015,0.047929,0.030337,0.006914,0.08768,0.0
syn_scan,iat_mean_ms,0.013233,0.011921,0.006695,0.006914,0.067949,0.0
udp_scan,iat_mean_ms,0.012875,0.012875,0.0,0.012875,0.012875,0.0
icmp_flood,iat_std_ms,0.0,0.0,0.0,0.0,0.0,0.0
normal,iat_std_ms,0.0,0.0,0.0,0.0,0.0,0.0
port_sweep,iat_std_ms,0.0,0.0,0.0,0.0,0.0,0.0
syn_scan,iat_std_ms,0.0,0.0,0.0,0.0,0.0,0.0
udp_scan,iat_std_ms,0.0,0.0,0.0,0.0,0.0,0.0
icmp_flood,iat_cv,0.0,0.0,0.0,0.0,0.0,0.0
normal,iat_cv,0.0,0.0,0.0,0.0,0.0,0.0
port_sweep,iat_cv,0.0,0.0,0.0,0.0,0.0,0.0
syn_scan,iat_cv,0.0,0.0,0.0,0.0,0.0,0.0
udp_scan,iat_cv,0.0,0.0,0.0,0.0,0.0,0.0
icmp_flood,rtt_estimate_ms,0.026941,0.026941,0.0,0.026941,0.026941,0.0
normal,rtt_estimate_ms,0.026941,0.026941,0.0,0.026941,0.026941,0.0
port_sweep,rtt_estimate_ms,0.026941,0.026941,0.0,0.026941,0.026941,0.0
syn_scan,rtt_estimate_ms,0.026941,0.026941,0.0,0.026941,0.026941,0.0
udp_scan,rtt_estimate_ms,0.026941,0.026941,0.0,0.026941,0.026941,0.0
icmp_flood,tcp_window_min,0.0,0.0,0.0,0.0,0.0,0.0
normal,tcp_window_min,0.0,0.0,0.0,0.0,0.0,0.0
port_sweep,tcp_window_min,0.0,0.0,0.0,0.0,0.0,0.0
syn_scan,tcp_window_min,0.0,0.0,0.0,0.0,0.0,0.0
udp_scan,tcp_window_min,0.0,0.0,0.0,0.0,0.0,0.0
icmp_flood,tcp_window_max,1024.0,1024.0,0.0,1024.0,1024.0,0.0
normal,tcp_window_max,1024.0,1024.0,0.0,1024.0,1024.0,0.0
port_sweep,tcp_window_max,1024.0,1024.0,0.0,1024.0,1024.0,0.0
syn_scan,tcp_window_max,1024.0,1024.0,0.0,1024.0,1024.0,0.0
udp_scan,tcp_window_max,1024.0,1024.0,0.0,1024.0,1024.0,0.0
icmp_flood,tcp_window_mean,512.0,512.0,0.0,512.0,512.0,0.0
normal,tcp_window_mean,512.0,512.0,0.0,512.0,512.0,0.0
port_sweep,tcp_window_mean,512.0,512.0,0.0,512.0,512.0,0.0
syn_scan,tcp_window_mean,512.0,512.0,0.0,512.0,512.0,0.0
udp_scan,tcp_window_mean,512.0,512.0,0.0,512.0,512.0,0.0
icmp_flood,tcp_window_var,262144.0,262144.0,0.0,262144.0,262144.0,0.0
normal,tcp_window_var,262144.0,262144.0,0.0,262144.0,262144.0,0.0
port_sweep,tcp_window_var,262144.0,262144.0,0.0,262144.0,262144.0,0.0
syn_scan,tcp_window_var,262144.0,262144.0,0.0,262144.0,262144.0,0.0
udp_scan,tcp_window_var,262144.0,262144.0,0.0,262144.0,262144.0,0.0
icmp_flood,syn_ack_ratio_manual,1.0,1.0,0.0,1.0,1.0,0.0
normal,syn_ack_ratio_manual,1.0,1.0,0.0,1.0,1.0,0.0
port_sweep,syn_ack_ratio_manual,1.0,1.0,0.0,1.0,1.0,0.0
syn_scan,syn_ack_ratio_manual,1.0,1.0,0.0,1.0,1.0,0.0
udp_scan,syn_ack_ratio_manual,1.0,1.0,0.0,1.0,1.0,0.0
icmp_flood,duration_zero_flag,0.983607,1.0,0.128037,0.0,1.0,0.0
normal,duration_zero_flag,0.217054,0.0,0.413847,0.0,1.0,0.0
port_sweep,duration_zero_flag,0.790698,1.0,0.411625,0.0,1.0,0.0
syn_scan,duration_zero_flag,0.976744,1.0,0.151302,0.0,1.0,0.0
udp_scan,duration_zero_flag,1.0,1.0,0.0,1.0,1.0,0.0
icmp_flood,syn_ack_ratio_nfstream_missing,1.0,1.0,0.0,1.0,1.0,0.0
normal,syn_ack_ratio_nfstream_missing,0.24031,0.0,0.428938,0.0,1.0,0.0
port_sweep,syn_ack_ratio_nfstream_missing,0.162791,0.0,0.373544,0.0,1.0,0.0
syn_scan,syn_ack_ratio_nfstream_missing,0.0,0.0,0.0,0.0,0.0,0.0
udp_scan,syn_ack_ratio_nfstream_missing,1.0,1.0,0.0,1.0,1.0,0.0
icmp_flood,iat_mean_ms_missing,0.983607,1.0,0.128037,0.0,1.0,0.0
normal,iat_mean_ms_missing,0.007752,0.0,0.088045,0.0,1.0,0.0
port_sweep,iat_mean_ms_missing,0.0,0.0,0.0,0.0,0.0,0.0
syn_scan,iat_mean_ms_missing,0.0,0.0,0.0,0.0,0.0,0.0
udp_scan,iat_mean_ms_missing,1.0,1.0,0.0,1.0,1.0,0.0
icmp_flood,iat_std_ms_missing,0.983607,1.0,0.128037,0.0,1.0,0.0
normal,iat_std_ms_missing,0.007752,0.0,0.088045,0.0,1.0,0.0
port_sweep,iat_std_ms_missing,0.0,0.0,0.0,0.0,0.0,0.0
syn_scan,iat_std_ms_missing,0.0,0.0,0.0,0.0,0.0,0.0
udp_scan,iat_std_ms_missing,1.0,1.0,0.0,1.0,1.0,0.0
icmp_flood,iat_cv_missing,0.983607,1.0,0.128037,0.0,1.0,0.0
normal,iat_cv_missing,0.007752,0.0,0.088045,0.0,1.0,0.0
port_sweep,iat_cv_missing,0.0,0.0,0.0,0.0,0.0,0.0
syn_scan,iat_cv_missing,0.0,0.0,0.0,0.0,0.0,0.0
udp_scan,iat_cv_missing,1.0,1.0,0.0,1.0,1.0,0.0
icmp_flood,rtt_estimate_ms_missing,1.0,1.0,0.0,1.0,1.0,0.0
normal,rtt_estimate_ms_missing,0.24031,0.0,0.428938,0.0,1.0,0.0
port_sweep,rtt_estimate_ms_missing,1.0,1.0,0.0,1.0,1.0,0.0
syn_scan,rtt_estimate_ms_missing,1.0,1.0,0.0,1.0,1.0,0.0
udp_scan,rtt_estimate_ms_missing,1.0,1.0,0.0,1.0,1.0,0.0
icmp_flood,tcp_window_min_missing,1.0,1.0,0.0,1.0,1.0,0.0
normal,tcp_window_min_missing,0.24031,0.0,0.428938,0.0,1.0,0.0
port_sweep,tcp_window_min_missing,0.162791,0.0,0.373544,0.0,1.0,0.0
syn_scan,tcp_window_min_missing,0.0,0.0,0.0,0.0,0.0,0.0
udp_scan,tcp_window_min_missing,1.0,1.0,0.0,1.0,1.0,0.0
icmp_flood,tcp_window_max_missing,1.0,1.0,0.0,1.0,1.0,0.0
normal,tcp_window_max_missing,0.24031,0.0,0.428938,0.0,1.0,0.0
port_sweep,tcp_window_max_missing,0.162791,0.0,0.373544,0.0,1.0,0.0
syn_scan,tcp_window_max_missing,0.0,0.0,0.0,0.0,0.0,0.0
udp_scan,tcp_window_max_missing,1.0,1.0,0.0,1.0,1.0,0.0
icmp_flood,tcp_window_mean_missing,1.0,1.0,0.0,1.0,1.0,0.0
normal,tcp_window_mean_missing,0.24031,0.0,0.428938,0.0,1.0,0.0
port_sweep,tcp_window_mean_missing,0.162791,0.0,0.373544,0.0,1.0,0.0
syn_scan,tcp_window_mean_missing,0.0,0.0,0.0,0.0,0.0,0.0
udp_scan,tcp_window_mean_missing,1.0,1.0,0.0,1.0,1.0,0.0
icmp_flood,tcp_window_var_missing,1.0,1.0,0.0,1.0,1.0,0.0
normal,tcp_window_var_missing,0.24031,0.0,0.428938,0.0,1.0,0.0
port_sweep,tcp_window_var_missing,0.162791,0.0,0.373544,0.0,1.0,0.0
syn_scan,tcp_window_var_missing,0.0,0.0,0.0,0.0,0.0,0.0
udp_scan,tcp_window_var_missing,1.0,1.0,0.0,1.0,1.0,0.0
icmp_flood,syn_ack_ratio_manual_missing,1.0,1.0,0.0,1.0,1.0,0.0
normal,syn_ack_ratio_manual_missing,0.24031,0.0,0.428938,0.0,1.0,0.0
port_sweep,syn_ack_ratio_manual_missing,0.162791,0.0,0.373544,0.0,1.0,0.0
syn_scan,syn_ack_ratio_manual_missing,0.0,0.0,0.0,0.0,0.0,0.0
udp_scan,syn_ack_ratio_manual_missing,1.0,1.0,0.0,1.0,1.0,0.0
