label,n_flows,n_pcaps,bidirectional_duration_ms_mean,bidirectional_duration_ms_median,bidirectional_duration_ms_null_pct,bidirectional_packets_mean,bidirectional_packets_median,bidirectional_packets_null_pct,bidirectional_bytes_mean,bidirectional_bytes_median,bidirectional_bytes_null_pct,manual_packet_count_mean,manual_packet_count_median,manual_packet_count_null_pct,iat_cv_mean,iat_cv_median,iat_cv_null_pct,rtt_estimate_ms_mean,rtt_estimate_ms_median,rtt_estimate_ms_null_pct,tcp_window_mean_mean,tcp_window_mean_median,tcp_window_mean_null_pct,syn_ack_ratio_manual_mean,syn_ack_ratio_manual_median,syn_ack_ratio_manual_null_pct,bidirectional_packets_per_ms_mean,bidirectional_packets_per_ms_median,bidirectional_packets_per_ms_null_pct
icmp_flood,61,1,9428.8852,0.0,0.0,94982.1967,1.0,0.0,3989286.6885,88.0,0.0,82.9508,1.0,0.0,4.049,4.049,98.361,,,100.0,,,100.0,,,100.0,1.1487,1.0,0.0
normal,546,1,11.8242,1.0,0.0,53.7619,10.0,0.0,1005387.0037,1241.0,0.0,53.7527,10.0,0.0,1.4515,0.9175,0.366,0.0348,0.0269,22.711,9267.9738,11226.6667,22.711,0.1333,0.1818,22.711,11.1928,10.0,0.0
port_sweep,43,1,129.4419,0.0,0.0,24.6279,2.0,0.0,2040.0,112.0,0.0,24.6279,2.0,0.0,0.7028,0.0,0.0,,,100.0,2282.2222,512.0,16.279,1.0833,1.0,16.279,5.4245,2.0,0.0
syn_scan,60120,1,0.0149,0.0,0.0,2.003,2.0,0.0,112.2355,112.0,0.0,2.003,2.0,0.0,0.002,0.0,0.0,,,100.0,575.728,512.0,0.2,1.003,1.0,0.2,2.003,2.0,0.0
udp_scan,19801,1,28.9582,0.0,0.0,1.0161,1.0,0.0,44.3614,42.0,0.0,1.0161,1.0,0.0,0.0451,0.0,99.692,,,100.0,,,100.0,,,100.0,1.0027,1.0,0.0
